review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,45,135,1,Excelente producto,No cumplió mis expectativas.,true,33,2023-05-25
2,74,146,2,Excelente producto,El producto es correcto pero la entrega tardó.,true,26,2023-07-12
3,70,60,4,Podría mejorar,Bueno pero esperaba un poco más.,true,36,2025-05-10
4,13,65,3,Buena calidad,Bueno pero esperaba un poco más.,false,19,2023-02-27
5,10,162,2,Excelente producto,Bueno pero esperaba un poco más.,true,36,2025-04-13
6,80,22,1,No tan bueno,Llegó a tiempo y en perfecto estado.,true,44,2024-01-06
7,79,99,5,Excelente producto,No cumplió mis expectativas.,true,3,2023-10-15
8,47,120,1,Muy bueno,El producto es correcto pero la entrega tardó.,true,49,2024-04-15
9,78,80,4,Satisfecho,No cumplió mis expectativas.,true,34,2023-10-28
10,20,42,5,Recomendado,Llegó a tiempo y en perfecto estado.,false,25,2025-04-28
11,71,35,5,Satisfecho,El producto es correcto pero la entrega tardó.,true,20,2024-10-03
12,22,38,1,Recomendado,Muy buena calidad por el precio.,true,8,2025-06-07
13,26,70,4,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,16,2023-05-07
14,42,38,4,Podría mejorar,No cumplió mis expectativas.,true,1,2025-11-20
15,36,69,4,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,14,2023-08-05
16,70,163,3,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,16,2025-03-10
17,64,103,3,Excelente producto,Excelente relación calidad-precio.,true,18,2023-02-22
18,48,33,1,Muy bueno,Llegó a tiempo y en perfecto estado.,false,3,2023-12-05
19,58,115,3,No tan bueno,El producto es correcto pero la entrega tardó.,true,14,2024-12-04
20,80,1,2,Buena calidad,No cumplió mis expectativas.,true,34,2023-02-01
21,94,82,4,Cumple expectativas,Muy buena calidad por el precio.,true,22,2025-02-16
22,11,56,4,Buena calidad,Excelente relación calidad-precio.,true,30,2024-04-06
