product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Premium Set 1,Descripción detallada del producto 1,3,12,6,391.48,184,1.7,true,2022-01-22,2024-10-30
2,SKU-000002,Mega Pack 2,Descripción detallada del producto 2,8,6,3,130.35,71.69,11.5,true,2023-07-29,2024-08-28
3,SKU-000003,Premium Producto 3,Descripción detallada del producto 3,5,6,6,44.41,19.1,26.4,true,2023-02-20,2024-10-27
4,SKU-000004,Ultra Pack 4,Descripción detallada del producto 4,5,13,2,175.76,98.43,21.5,false,2022-09-01,2025-07-12
5,SKU-000005,Smart Dispositivo 5,Descripción detallada del producto 5,8,1,2,465.09,255.8,5.2,true,2022-06-21,2025-05-01
6,SKU-000006,Pro Herramienta 6,Descripción detallada del producto 6,10,1,7,81.84,41.74,27.5,true,2022-09-29,2024-03-26
7,SKU-000007,Max Set 7,Descripción detallada del producto 7,7,13,2,187.24,119.83,33.4,true,2023-08-29,2024-01-25
8,SKU-000008,Super Kit 8,Descripción detallada del producto 8,8,10,3,52.7,30.57,14.2,true,2023-01-10,2025-06-24
9,SKU-000009,Super Widget 9,Descripción detallada del producto 9,4,4,5,446.24,214.2,33.3,true,2022-04-22,2025-05-19
10,SKU-000010,Super Producto 10,Descripción detallada del producto 10,1,10,7,111.56,74.75,27.2,true,2022-01-15,2025-11-01
11,SKU-000011,Pro Dispositivo 11,Descripción detallada del producto 11,3,6,2,43.33,25.13,16.6,true,2022-10-23,2025-11-24
12,SKU-000012,Smart Pack 12,Descripción detallada del producto 12,8,1,3,284.5,122.34,16.4,true,2023-12-10,2024-05-08
13,SKU-000013,Premium Gadget 13,Descripción detallada del producto 13,1,3,5,133.04,81.15,11.9,true,2022-06-30,2025-03-24
14,SKU-000014,Mega Herramienta 14,Descripción detallada del producto 14,7,15,3,469.77,291.26,11.5,true,2023-10-06,2024-10-01
15,SKU-000015,Mini Producto 15,Descripción detallada del producto 15,7,8,2,34.86,20.92,7.8,true,2023-04-18,2025-09-04
16,SKU-000016,Super Gadget 16,Descripción detallada del producto 16,2,3,1,383.47,230.08,46.8,true,2022-02-15,2025-11-23
17,SKU-000017,Ultra Gadget 17,Descripción detallada del producto 17,9,8,4,468.37,243.55,37.5,true,2023-12-06,2025-07-26
18,SKU-000018,Super Pack 18,Descripción detallada del producto 18,3,4,3,403.06,209.59,38,true,2022-05-14,2024-09-15
19,SKU-000019,Básico Producto 19,Descripción detallada del producto 19,1,1,6,268.71,169.29,41.3,true,2023-05-18,2025-02-21
20,SKU-000020,Max Herramienta 20,Descripción detallada del producto 20,6,8,1,350.78,182.41,24.8,true,2022-12-27,2025-08-21
21,SKU-000021,Básico Dispositivo 21,Descripción detallada del producto 21,3,5,5,309.36,154.68,21.8,true,2022-12-13,2024-09-21
22,SKU-000022,Super Producto 22,Descripción detallada del producto 22,10,5,4,361.46,184.34,33.1,true,2023-04-20,2025-11-05
23,SKU-000023,Mini Pack 23,Descripción detallada del producto 23,6,1,3,100.47,46.22,15.5,true,2023-01-05,2024-10-02
24,SKU-000024,Premium Herramienta 24,Descripción detallada del producto 24,2,1,1,370.96,166.93,48.9,true,2023-10-20,2024-11-14
25,SKU-000025,Mini Widget 25,Descripción detallada del producto 25,7,5,6,18.08,12.29,10.7,true,2023-07-21,2024-06-05
26,SKU-000026,Premium Kit 26,Descripción detallada del producto 26,7,12,4,259.42,127.12,31.9,true,2023-05-15,2025-11-06
27,SKU-000027,Mega Producto 27,Descripción detallada del producto 27,6,9,6,200.94,80.38,19,true,2022-03-02,2024-08-11
28,SKU-000028,Básico Producto 28,Descripción detallada del producto 28,7,5,3,79.66,54.17,13.1,true,2023-12-04,2024-05-17
29,SKU-000029,Ultra Herramienta 29,Descripción detallada del producto 29,1,2,1,193.72,81.36,49.5,true,2022-06-16,2025-11-25
30,SKU-000030,Ultra Artículo 30,Descripción detallada del producto 30,3,9,5,55.41,33.25,17.5,true,2022-07-10,2025-07-03
31,SKU-000031,Premium Kit 31,Descripción detallada del producto 31,9,5,5,472.47,231.51,26,true,2023-04-23,2025-10-01
32,SKU-000032,Premium Dispositivo 32,Descripción detallada del producto 32,10,1,3,411.6,168.76,18.2,true,2023-02-12,2025-02-19
33,SKU-000033,Mega Widget 33,Descripción detallada del producto 33,1,3,4,288.4,170.16,18.6,true,2022-09-16,2024-06-04
34,SKU-000034,Mega Artículo 34,Descripción detallada del producto 34,1,14,5,132.51,91.43,40,true,2023-06-15,2024-04-18
35,SKU-000035,Básico Widget 35,Descripción detallada del producto 35,4,12,5,66.53,30.6,45.5,true,2023-02-20,2024-11-06
36,SKU-000036,Super Dispositivo 36,Descripción detallada del producto 36,5,5,3,21,8.61,45.7,true,2023-04-12,2024-05-29
37,SKU-000037,Mega Artículo 37,Descripción detallada del producto 37,1,3,7,434.95,247.92,13.5,true,2022-06-20,2024-12-08
38,SKU-000038,Mini Equipo 38,Descripción detallada del producto 38,1,5,5,35.74,21.09,25.1,false,2023-07-26,2025-03-11
39,SKU-000039,Smart Widget 39,Descripción detallada del producto 39,1,5,5,118.01,56.64,24.9,true,2022-10-01,2024-03-21
40,SKU-000040,Max Set 40,Descripción detallada del producto 40,2,4,5,245.59,142.44,27.5,true,2022-06-27,2025-09-30
41,SKU-000041,Ultra Producto 41,Descripción detallada del producto 41,1,9,7,459.33,211.29,19.5,true,2022-11-07,2024-09-23
42,SKU-000042,Ultra Dispositivo 42,Descripción detallada del producto 42,5,15,2,78.47,32.96,17.4,true,2022-07-31,2025-02-06
43,SKU-000043,Smart Equipo 43,Descripción detallada del producto 43,5,12,3,253.82,137.06,7.5,true,2022-05-01,2025-04-09
44,SKU-000044,Max Equipo 44,Descripción detallada del producto 44,9,13,3,250.39,132.71,20,true,2022-11-13,2025-12-08
45,SKU-000045,Básico Pack 45,Descripción detallada del producto 45,2,8,3,229.31,126.12,11.9,true,2022-10-15,2025-08-14
46,SKU-000046,Smart Equipo 46,Descripción detallada del producto 46,5,13,1,190.4,99.01,9.1,true,2023-03-26,2025-11-30
47,SKU-000047,Pro Artículo 47,Descripción detallada del producto 47,8,2,3,381.93,202.42,46.5,true,2023-12-10,2024-03-21
48,SKU-000048,Max Dispositivo 48,Descripción detallada del producto 48,9,14,2,154.5,81.89,33,false,2023-09-20,2024-11-30
49,SKU-000049,Elite Dispositivo 49,Descripción detallada del producto 49,7,10,2,93.6,39.31,33.7,true,2023-11-20,2025-01-24
50,SKU-000050,Ultra Widget 50,Descripción detallada del producto 50,8,13,8,206,144.2,36.6,true,2022-01-13,2025-07-19
51,SKU-000051,Mini Herramienta 51,Descripción detallada del producto 51,10,14,3,321.45,160.73,45.3,true,2023-02-28,2024-04-22
52,SKU-000052,Smart Widget 52,Descripción detallada del producto 52,5,11,3,406.34,272.25,9.2,true,2023-12-01,2024-05-06
53,SKU-000053,Super Gadget 53,Descripción detallada del producto 53,4,3,2,289.02,202.31,11.2,false,2023-02-19,2024-01-23
54,SKU-000054,Mega Widget 54,Descripción detallada del producto 54,4,9,2,238.84,152.86,0.3,true,2022-08-29,2024-03-21
55,SKU-000055,Smart Widget 55,Descripción detallada del producto 55,3,6,8,301.58,174.92,31.3,true,2023-10-22,2025-12-04
56,SKU-000056,Elite Herramienta 56,Descripción detallada del producto 56,1,13,3,7.23,2.96,18.3,true,2022-02-05,2024-12-21
57,SKU-000057,Pro Equipo 57,Descripción detallada del producto 57,5,11,3,442.15,207.81,39.6,true,2022-12-19,2024-11-15
58,SKU-000058,Mega Gadget 58,Descripción detallada del producto 58,2,2,2,424.79,271.87,10.3,true,2022-10-17,2024-01-11
59,SKU-000059,Mini Producto 59,Descripción detallada del producto 59,6,8,4,290.14,139.27,7.7,true,2023-03-04,2024-01-12
60,SKU-000060,Pro Set 60,Descripción detallada del producto 60,5,12,6,321.87,138.4,39.7,true,2023-09-30,2025-02-19
61,SKU-000061,Pro Producto 61,Descripción detallada del producto 61,5,11,7,116.29,81.4,13,true,2022-03-02,2025-07-14
